query_id,query,order,threshold,file_id,table_id,id
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",19,0.6000000000000001,2409.17874,S4.T2.4.2,2409.17874_S4.T2.4.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",20,0.6000000000000001,2408.01931v2,S5.T5,2408.01931v2_S5.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",21,0.6000000000000001,2301.10799v2,A6.T9,2301.10799v2_A6.T9
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",22,0.6000000000000001,2211.15217,S6.T3,2211.15217_S6.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",23,0.6000000000000001,2302.12156,S5.T1,2302.12156_S5.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",24,0.6000000000000001,2303.12317,S6.T4,2303.12317_S6.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",25,0.6000000000000001,2305.00873,S6.T4,2305.00873_S6.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",26,0.6000000000000001,2304.00570,S5.T3,2304.00570_S5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",27,0.6000000000000001,2408.02575v1,S2.T1,2408.02575v1_S2.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",28,0.6000000000000001,2406.06679,S4.T3,2406.06679_S4.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",29,0.6000000000000001,2208.07900,A7.T9.4,2208.07900_A7.T9.4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",30,0.6000000000000001,2303.05977v2,S5.T3,2303.05977v2_S5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",31,0.6000000000000001,2404.18961v1,S2.T7,2404.18961v1_S2.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",32,0.6000000000000001,2408.02575v1,S2.T2,2408.02575v1_S2.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",33,0.6000000000000001,2305.00873,S5.T1,2305.00873_S5.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",34,0.6000000000000001,2301.10799v2,A2.T4,2301.10799v2_A2.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",35,0.6000000000000001,2211.15217,S6.T1,2211.15217_S6.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",36,0.6000000000000001,2410.13042v1,S4.T4,2410.13042v1_S4.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",37,0.6000000000000001,2407.05154,S3.T5.1.1,2407.05154_S3.T5.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",38,0.6000000000000001,2208.07900,S3.E7,2208.07900_S3.E7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",39,0.6000000000000001,2404.18961v1,S2.T5,2404.18961v1_S2.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",40,0.6000000000000001,2407.05154,S4.T11.3.3,2407.05154_S4.T11.3.3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",41,0.6000000000000001,2410.10089v1,S4.T2,2410.10089v1_S4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",42,0.6000000000000001,2303.12317,A4.T6,2303.12317_A4.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",43,0.6000000000000001,2406.15319,S3.T5.2,2406.15319_S3.T5.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",44,0.6000000000000001,2301.10799v2,S3.T1,2301.10799v2_S3.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",45,0.6000000000000001,2405.13018,Sx5.T4,2405.13018_Sx5.T4
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",46,0.6000000000000001,2208.07900,A5.T6.18,2208.07900_A5.T6.18
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",47,0.6000000000000001,2410.10089v1,S4.T3,2410.10089v1_S4.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",48,0.6000000000000001,2406.15319,S3.T5.1,2406.15319_S3.T5.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",49,0.6000000000000001,2303.12317,A5.T8,2303.12317_A5.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",50,0.6000000000000001,2208.07900,S4.T1.2,2208.07900_S4.T1.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",51,0.6000000000000001,2301.10799v2,S5.T3,2301.10799v2_S5.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",52,0.6000000000000001,1609.05600v2,S5.T1,1609.05600v2_S5.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",53,0.6000000000000001,2007.12004,S6.T1,2007.12004_S6.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",54,0.6000000000000001,2208.07900,S3.E8,2208.07900_S3.E8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",55,0.6000000000000001,2208.07900,S4.E9,2208.07900_S4.E9
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",56,0.6000000000000001,2211.15217,S6.T5,2211.15217_S6.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",57,0.6000000000000001,2406.06679,Pt0.A2.T6,2406.06679_Pt0.A2.T6
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",58,0.6000000000000001,2407.05154,S3.T6.1.1,2407.05154_S3.T6.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",59,0.6000000000000001,1609.05600v2,S5.T2,1609.05600v2_S5.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",60,0.6000000000000001,2208.07900,S5.T3.7,2208.07900_S5.T3.7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",61,0.6000000000000001,2303.12317,S4.T2,2303.12317_S4.T2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",62,0.6000000000000001,2407.05154,S4.T10.19.19,2407.05154_S4.T10.19.19
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",63,0.6000000000000001,2406.15319,A1.T8.1.1,2406.15319_A1.T8.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",64,0.6000000000000001,2301.10799v2,A6.T7,2301.10799v2_A6.T7
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",65,0.6000000000000001,2410.10089v1,S4.T1,2410.10089v1_S4.T1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",66,0.6000000000000001,2404.18961v1,S4.T8,2404.18961v1_S4.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",67,0.6000000000000001,2407.05154,S3.T2.2.2,2407.05154_S3.T2.2.2
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",68,0.6000000000000001,2407.05154,S3.T3.1,2407.05154_S3.T3.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",69,0.6000000000000001,2208.07900,S2.E1,2208.07900_S2.E1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",70,0.6000000000000001,2303.12317,S6.T3,2303.12317_S6.T3
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",71,0.6000000000000001,2208.07900,A4.T4.15,2208.07900_A4.T4.15
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",72,0.6000000000000001,2409.08498v1,S5.T5,2409.08498v1_S5.T5
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",73,0.6000000000000001,2406.15319,S3.T2.1.1,2406.15319_S3.T2.1.1
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",74,0.6000000000000001,2301.10799v2,A6.T8,2301.10799v2_A6.T8
2,"""Autonomous Surface Vehicles"" AND ""Federated Learning""",75,0.6000000000000001,2409.03893v2,S2.T1,2409.03893v2_S2.T1
